STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Urban(1)orRural(2),FUNC_SYS,RD_OWNER,ROUTE,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,1,0,1,1,5,1,6,1,1,1,1,1,0,14,0,0,1,1,0,2,4,1,0,0,0,1,360,0
1,0,0,2,2,8,1,2,1,2,1,1,1,0,38,0,1,12,1,0,3,2,2,20,0,0,2,48,0
1,0,0,2,2,8,1,2,1,1,1,1,1,0,24,0,0,1,1,1,4,2,10,0,0,0,1,1370,0
1,0,0,2,2,9,1,3,1,1,1,1,1,0,24,0,0,1,1,0,4,1,10,0,0,0,1,782,0
1,0,0,2,2,19,1,6,1,2,1,1,1,0,12,1,0,1,1,0,1,1,1,0,0,0,1,429,0
1,1,4,1,4,19,1,6,1,1,1,1,1,0,14,0,0,1,1,0,2,2,1,23,19,15,1,1328,0
1,0,1,1,1,21,1,1,1,2,1,1,1,0,8,0,0,1,1,0,1,1,1,0,0,0,1,553,0
1,0,1,1,1,23,1,3,1,2,1,1,1,0,12,1,0,1,1,0,1,2,10,19,23,0,1,32,0
1,0,0,1,1,27,1,7,1,2,1,1,1,0,59,0,1,5,1,0,8,3,10,0,0,0,1,35,1
1,0,1,1,1,28,1,1,1,2,1,1,1,0,8,0,0,1,1,1,1,2,1,0,0,0,1,1335,0
1,0,0,4,4,28,1,1,1,1,1,1,1,0,12,2,0,1,1,0,1,1,2,0,0,0,1,720,0
1,0,0,1,1,1,1,2,1,2,3,1,3,0,1,0,0,1,1,0,3,2,10,0,0,0,1,1367,1
1,0,0,4,4,1,1,2,1,1,3,1,2,0,12,3,0,2,2,0,1,3,1,14,0,0,2,1205,0
1,0,0,2,2,2,1,3,0,1,5,1,3,0,12,2,0,1,1,0,1,2,1,0,0,0,1,1265,1
1,0,0,2,2,2,1,3,0,1,5,2,4,0,42,0,0,1,1,0,4,1,1,0,0,0,1,870,0
1,0,0,2,2,3,1,4,0,1,5,2,4,0,24,0,0,1,1,0,4,1,1,0,0,0,1,1005,1
1,0,1,1,1,4,1,5,1,1,3,1,3,0,8,0,0,8,1,0,1,1,1,0,0,0,1,802,0
1,0,0,3,3,4,1,5,0,1,4,1,3,0,12,3,0,2,2,0,1,5,1,0,0,0,1,1004,0
1,0,0,2,2,5,1,6,0,2,4,4,6,0,42,0,0,1,1,1,4,3,1,0,0,0,1,120,1
1,0,0,2,2,5,1,6,1,1,3,1,3,0,12,3,0,2,2,0,1,1,1,0,0,0,1,370,0
1,0,0,5,5,5,1,6,1,2,3,1,3,0,12,3,0,2,2,0,1,1,1,0,0,0,1,530,0
1,0,0,4,4,5,1,6,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,0,0,1,549,0
1,0,0,2,2,5,1,6,1,1,3,1,2,0,12,3,0,2,2,0,1,1,1,0,0,0,1,735,0
1,0,0,5,5,5,1,6,0,2,5,4,6,0,12,2,0,1,1,0,1,2,1,0,0,0,1,1340,0
1,0,0,5,5,5,1,6,1,1,3,4,6,0,12,2,0,2,3,0,1,1,1,0,0,0,1,853,0
1,0,0,2,2,7,1,1,0,1,4,1,3,0,32,0,0,1,1,0,4,2,1,0,0,0,1,1098,1
1,0,1,1,1,8,1,2,0,2,4,4,6,0,8,0,0,1,1,0,1,3,2,0,0,0,1,160,0
1,0,0,3,3,8,1,2,0,1,5,2,4,0,12,3,0,1,1,0,1,1,2,0,0,0,1,445,0
1,0,0,2,2,8,1,2,0,1,7,2,4,0,34,0,0,1,1,0,4,2,1,0,0,0,1,1415,1
1,0,0,2,2,9,1,3,0,2,4,2,4,0,12,2,0,1,1,0,1,1,2,0,0,0,1,435,0
1,0,0,3,3,10,1,4,1,1,3,1,3,0,12,3,0,8,1,0,1,3,10,0,0,0,1,1258,0
1,0,1,1,1,10,1,4,1,2,3,1,2,0,8,0,0,1,1,0,1,3,10,0,0,0,1,1078,0
1,0,0,1,1,10,1,4,0,2,5,2,4,0,42,0,0,1,1,0,4,2,2,0,0,0,1,1360,0
1,0,1,1,1,11,1,5,1,2,3,1,3,0,8,0,0,1,1,0,1,3,2,0,0,0,1,341,0
1,0,0,3,3,11,1,5,0,1,5,1,3,0,12,1,0,1,1,0,1,1,1,0,0,0,1,775,0
