STATE,PVH,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Rur_Urb,FUNC_SYS,RD_OWNER,ROUTE,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,1,1,1,5,1,6,1,1,1,1,1,0,0,1,1,0,2,1,0,0,0,1,2,0
1,0,2,2,8,1,2,1,2,1,1,1,0,1,12,1,0,3,2,20,0,0,2,1,0
1,0,2,2,8,1,2,1,1,1,1,1,0,0,1,1,1,4,10,0,0,0,1,1,0
1,0,2,2,9,1,3,1,1,1,1,1,0,0,1,1,0,4,10,0,0,0,1,3,0
1,0,2,2,19,1,6,1,2,1,1,1,1,0,1,1,0,1,1,0,0,0,1,2,0
1,1,1,4,19,1,6,1,1,1,1,1,0,0,1,1,0,2,1,23,19,15,1,1,0
1,0,1,1,21,1,1,1,2,1,1,1,0,0,1,1,0,1,1,0,0,0,1,2,0
1,0,1,1,23,1,3,1,2,1,1,1,1,0,1,1,0,1,10,19,23,0,1,1,0
1,0,1,1,27,1,7,1,2,1,1,1,0,1,5,1,0,8,10,0,0,0,1,1,1
1,0,1,1,28,1,1,1,2,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
1,0,4,4,28,1,1,1,1,1,1,1,2,0,1,1,0,1,2,0,0,0,1,3,0
1,0,1,1,1,1,2,1,2,3,1,3,0,0,1,1,0,3,10,0,0,0,1,1,1
1,0,4,4,1,1,2,1,1,3,1,2,3,0,2,2,0,1,1,14,0,0,2,5,0
1,0,2,2,2,1,3,0,1,5,1,3,2,0,1,1,0,1,1,0,0,0,1,5,1
1,0,2,2,2,1,3,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,2,2,3,1,4,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,4,1
1,0,1,1,4,1,5,1,1,3,1,3,0,0,8,1,0,1,1,0,0,0,1,3,0
1,0,3,3,4,1,5,0,1,4,1,3,3,0,2,2,0,1,1,0,0,0,1,4,0
1,0,2,2,5,1,6,0,2,4,4,6,0,0,1,1,1,4,1,0,0,0,1,1,1
1,0,2,2,5,1,6,1,1,3,1,3,3,0,2,2,0,1,1,0,0,0,1,2,0
1,0,5,5,5,1,6,1,2,3,1,3,3,0,2,2,0,1,1,0,0,0,1,2,0
1,0,4,4,5,1,6,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,1,2,0
1,0,2,2,5,1,6,1,1,3,1,2,3,0,2,2,0,1,1,0,0,0,1,3,0
1,0,5,5,5,1,6,0,2,5,4,6,2,0,1,1,0,1,1,0,0,0,1,1,0
1,0,5,5,5,1,6,1,1,3,4,6,2,0,2,3,0,1,1,0,0,0,1,3,0
1,0,2,2,7,1,1,0,1,4,1,3,0,0,1,1,0,4,1,0,0,0,1,4,1
1,0,1,1,8,1,2,0,2,4,4,6,0,0,1,1,0,1,2,0,0,0,1,1,0
1,0,3,3,8,1,2,0,1,5,2,4,3,0,1,1,0,1,2,0,0,0,1,2,0
1,0,2,2,8,1,2,0,1,7,2,4,0,0,1,1,0,4,1,0,0,0,1,1,1
1,0,2,2,9,1,3,0,2,4,2,4,2,0,1,1,0,1,2,0,0,0,1,2,0
1,0,3,3,10,1,4,1,1,3,1,3,3,0,8,1,0,1,10,0,0,0,1,5,0
1,0,1,1,10,1,4,1,2,3,1,2,0,0,1,1,0,1,10,0,0,0,1,4,0
1,0,1,1,10,1,4,0,2,5,2,4,0,0,1,1,0,4,2,0,0,0,1,1,0
1,0,1,1,11,1,5,1,2,3,1,3,0,0,1,1,0,1,2,0,0,0,1,2,0
1,0,3,3,11,1,5,0,1,5,1,3,1,0,1,1,0,1,1,0,0,0,1,3,0
1,0,1,1,11,1,5,0,1,4,1,3,0,0,1,1,0,4,2,0,0,0,1,1,0
1,0,1,1,12,1,6,0,1,4,1,3,0,0,1,1,0,4,2,0,0,0,1,1,1
1,0,3,3,12,1,6,0,2,7,4,6,0,0,1,1,0,4,2,0,0,0,1,2,0
1,0,2,2,12,1,6,1,1,3,1,2,3,0,1,1,0,1,2,0,0,0,1,2,0
1,0,2,2,13,1,7,0,2,4,4,6,0,0,1,1,0,4,1,0,0,0,2,2,1
1,0,1,1,13,1,7,0,1,7,2,4,0,0,1,1,0,4,1,0,0,0,1,1,0
1,0,1,1,14,1,1,0,1,5,4,6,0,0,1,1,0,4,1,0,0,0,1,1,0
1,0,3,3,15,1,2,0,2,5,4,6,2,0,1,1,0,1,1,0,0,0,1,2,0
1,0,3,3,15,1,2,0,1,4,1,3,2,0,1,1,0,2,1,0,0,0,2,4,0
1,0,4,4,15,1,2,0,1,5,1,2,2,0,1,1,0,1,1,0,0,0,1,4,0
1,0,3,3,15,1,2,1,2,3,1,2,3,0,1,1,2,1,1,0,0,0,1,3,0
1,0,2,2,16,1,3,1,2,3,1,2,2,0,1,1,0,1,10,0,0,0,1,4,1
1,0,2,2,16,1,3,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,1,5,1
1,0,5,5,17,1,4,0,1,4,1,2,0,0,1,1,0,4,10,0,0,0,1,3,0
1,0,2,2,17,1,4,1,2,3,1,2,3,0,1,1,0,1,10,0,0,0,1,3,0
1,0,1,1,18,1,5,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,4,1
1,0,1,1,18,1,5,0,1,7,2,4,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,2,2,19,1,6,1,2,3,1,2,2,0,1,1,0,1,1,0,0,0,1,4,0
1,0,1,1,19,1,6,0,1,4,1,3,0,0,1,1,0,5,1,0,0,0,1,3,0
1,0,2,2,20,1,7,1,2,3,1,2,0,0,1,1,0,1,1,0,0,0,1,4,0
1,0,1,1,20,1,7,0,2,3,1,3,0,0,1,1,0,3,10,0,0,0,1,1,0
1,0,1,1,20,1,7,0,1,5,1,3,0,0,1,1,0,4,1,0,0,0,1,5,0
1,0,2,2,21,1,1,0,2,5,2,4,0,0,1,1,0,4,1,0,0,0,1,2,1
1,0,7,7,22,1,2,1,1,3,1,3,3,0,8,1,0,1,2,14,0,0,3,3,0
