STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,MINUTE,NHS,RURorURB ,FUNCSYS,ROADOWNER,ROUTE,SPJUR,HARMEV,MANCOLL,RELJCT1,RELJCT2,TYPINT,WRKZONE,RELROAD,LGTCOND,WEATHER1,WEATHER2,WEATHER,SCHBUS,CF1,CF2,CF3,FATALS,Drunk Driver Involved,HOUR
1,1,0,1,1,5,1,6,0,1,1,1,1,1,0,14,0,0,1,1,0,2,4,1,0,1,0,0,0,0,1,0,6
1,0,0,2,2,8,1,2,48,1,2,1,1,1,0,38,0,1,19,1,0,3,2,2,0,2,0,20,0,0,2,0,0
1,0,0,2,2,8,1,2,50,1,1,1,1,1,0,24,0,0,1,1,1,4,2,10,0,10,0,0,0,0,1,0,22
1,0,0,2,2,9,1,3,2,1,1,1,1,1,0,24,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,13
1,0,0,2,2,19,1,6,9,1,2,1,1,1,0,12,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,7
1,1,4,1,4,19,1,6,8,1,1,1,1,1,0,14,0,0,1,1,0,2,2,1,0,1,0,23,19,15,1,0,22
1,0,1,1,1,21,1,1,13,1,2,1,1,1,0,8,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,9
1,0,1,1,1,23,1,3,32,1,2,1,1,1,0,12,1,0,1,1,0,1,2,10,0,10,0,19,23,0,1,0,0
1,0,0,1,1,27,1,7,35,1,2,1,1,1,0,59,0,1,5,1,0,8,3,10,0,10,0,0,0,0,1,1,0
1,0,1,1,1,28,1,1,15,1,2,1,1,1,0,8,0,0,1,1,1,1,2,1,0,1,0,0,0,0,1,0,22
1,0,0,4,4,28,1,1,0,1,1,1,1,1,0,12,2,0,1,1,0,1,1,2,0,2,0,0,0,0,1,0,12
1,0,0,1,1,1,1,2,47,1,2,3,1,3,0,1,0,0,1,1,0,3,2,10,0,10,0,0,0,0,1,1,22
1,0,0,4,4,1,1,2,5,1,1,3,1,2,0,12,6,0,2,2,0,1,3,1,0,1,0,14,0,0,2,0,20
1,0,0,2,2,2,1,3,5,0,1,5,1,3,0,12,2,0,1,1,0,1,2,1,0,1,0,0,0,0,1,1,21
1,0,0,2,2,2,1,3,30,0,1,5,2,4,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,14
1,0,0,2,2,3,1,4,45,0,1,5,2,4,0,24,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,16
1,0,1,1,1,4,1,5,22,1,1,3,1,3,0,8,0,0,8,1,0,1,1,1,0,1,0,0,0,0,1,0,13
1,0,0,3,3,4,1,5,44,0,1,4,1,3,0,12,6,0,2,2,0,1,5,1,0,1,0,0,0,0,1,0,16
